"Name", "Sex", "Age", "Height (in)", "Weight (lbs)"
"Myra", "F", 23, 62, 98
"Gwen", "F", 26, 64, 121
"Ruth", "F", 28, 65, 131
"Quin", "M", 29, 71, 176
"Elly", "F", 30, 66, 124
"Hank", "M", 30, 71, 158
"Page", "F", 31, 67, 135
"Carl", "M", 32, 70, 155
"Jake", "M", 32, 69, 143
"Fran", "F", 33, 66, 115
"Luke", "M", 34, 72, 163
"Neil", "M", 36, 75, 160
"Omar", "M", 38, 70, 145
"Dave", "M", 39, 72, 167
"Alex", "M", 41, 74, 170
"Bert", "M", 42, 68, 166
"Kate", "F", 47, 69, 139
"Ivan", "M", 53, 72, 175
